Song Title,Total Streams,Daily Streams
Cruel Summer,1828886612,4911187
Blank Space,1739297862,1159752
* I Don’t Wanna Live Forever (Fifty Shades Darker),1590733798,1009697
Anti-Hero,1434703042,1929170
Shake It Off,1337860310,815912
Lover,1271599927,2043595
cardigan,1180302673,1731890
Style,1148799514,835944
Look What You Made Me Do,1089355976,886397
Don’t Blame Me,1014723836,1482716
august,986969655,1427909
Delicate,927893346,852693
Wildest Dreams,924429804,471871
You Need To Calm Down,880597266,735932
Love Story,852201244,476812
ME! (feat. Brendon Urie of Panic! At The Disco),831259199,360473
I Knew You Were Trouble.,797373818,496729
willow,784742710,892433
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),780197215,912387
Enchanted,768693446,518336
exile (feat. Bon Iver),709452277,704084
The Man,697716626,865822
Karma,697247526,1212950
Love Story (Taylor’s Version),673735589,1172624
...Ready For It?,665213062,887459
Lavender Haze,663137866,676245
Wildest Dreams (Taylor's Version),663084118,948865
We Are Never Ever Getting Back Together,647967993,242905
You Belong With Me,616693427,305223
Getaway Car,612707445,834142
Midnight Rain,607931087,740410
Paper Rings,603222858,621970
You Belong With Me (Taylor’s Version),582383786,1089416
Bad Blood,575966694,318542
champagne problems,566120866,684584
Gorgeous,563424125,462336
the 1,532978778,614306
"You're On Your Own, Kid",530146400,827580
Bejeweled,487125075,730934
End Game,472922014,367583
my tears ricochet,436873682,597892
Maroon,427378411,427387
I Did Something Bad,414297367,407872
Snow On The Beach (feat. Lana Del Rey),408655018,295403
mirrorball,386362882,476260
The Way I Loved You (Taylor’s Version),383442145,421266
Back To December,380312883,184155
22,377102967,159745
Call It What You Want,376542614,404739
illicit affairs,366136480,723898
Vigilante Shit,364960734,456152
The Archer,363061555,573875
this is me trying,359914779,469406
Afterglow,354618680,394428
Daylight,348230288,653698
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),347750646,330996
invisible string,337521653,422135
the last great american dynasty,337253895,396289
Miss Americana & The Heartbreak Prince,335903562,606968
All Of The Girls You Loved Before,327744986,494591
betty,326877029,379305
I Forgot That You Existed,322314040,206544
Is It Over Now? (Taylor's Version) (From The Vault),322011997,1642019
