song_name,total_streams,daily_streams,album_name,album_id,release_date,track_number,id,explicit,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms,energy_y,danceability_y,loudness_y,speechiness_y,tempo_y,valence_y,duration_ms_y
Cruel Summer,1828886612,4911187,Lover,1NAmidJlEaVgA3MpcPFYGq,23/08/2019,2,1BxfuPKGuaTgP7aM0Bbdwr,FALSE,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,0.117,0.552,0.702,2.06E-05,0.105,-5.707,0.157,169.994,0.564,99,178426,0.701923077,0.472477064,0.762965737,0.150635617,0.723592362,0.581492933,0.179648642
Blank Space,1739297862,1159752,1989,5e234f2rg34gQ34gergerhrh,27/10/2014,2,1p80LdxRV74UKvL8gnD7ky,FALSE,spotify:track:1p80LdxRV74UKvL8gnD7ky,0.085,0.753,0.678,1.64E-06,0.13,-5.421,0.0644,96.006,0.583,77,231826,0.673076923,0.779816514,0.780815078,0.046461919,0.19818777,0.602473498,0.280446531
I Don't Wanna Live Forever (Fifty Shades Darker),1590733798,1009697,Reputation,6DEjYFkNZh67HP7R9PSZvv,9/11/2017,10,55n9yjI6qqXh5F2mYvUc2y,FALSE,spotify:track:55n9yjI6qqXh5F2mYvUc2y,0.0586,0.731,0.445,1.96E-05,0.14,-8.418,0.0533,117.97,0.106,86,247160,0.393028846,0.74617737,0.593771454,0.033974575,0.354158826,0.075750883,0.309391003
Anti-Hero,1434703042,1929170,Midnights,1fnJ7k0bllNfL1kVdNVW1A,21/10/2022,3,0V3wPSX9ygBnCm8psDIegu,FALSE,spotify:track:0V3wPSX9ygBnCm8psDIegu,0.13,0.637,0.643,1.80E-06,0.142,-6.571,0.0519,97.008,0.533,92,200690,0.631009615,0.602446483,0.70904325,0.032399595,0.205303186,0.547261484,0.221674189
Shake It Off,1337860310,815912,1989,5e234f2rg34gQ34gergerhrh,27/10/2014,6,5xTtaWoae3wi06K5WfVUUH,FALSE,spotify:track:5xTtaWoae3wi06K5WfVUUH,0.0561,0.647,0.785,0,0.148,-5.414,0.165,160.015,0.943,76,219200,0.801682692,0.617737003,0.78125195,0.159635505,0.652729351,1,0.256613682
Lover,1271599927,2043595,Lover,1NAmidJlEaVgA3MpcPFYGq,23/08/2019,3,1dGr1c8CrMLDpV6mPbImSI,FALSE,spotify:track:1dGr1c8CrMLDpV6mPbImSI,0.492,0.359,0.543,1.58E-05,0.118,-7.582,0.0919,68.534,0.453,93,221306,0.510817308,0.177370031,0.645946452,0.077399033,0.00310323,0.458922261,0.260588969
cardigan,1180302673,1731890,folklore,1pzvBxYgT6OVwJLtHkrdQK,24/07/2020,2,4R2kfaDFhslZEMJqAFNpdd,FALSE,spotify:track:4R2kfaDFhslZEMJqAFNpdd,0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033,0.551,91,239560,0.556490385,0.565749235,0.583161705,0.021712229,0.439820765,0.567137809,0.295045236
Style,1148799514,835944,1989,5e234f2rg34gQ34gergerhrh,27/10/2014,3,4lIxdJw6W3Fg4vUIYCB0S5,FALSE,spotify:track:4lIxdJw6W3Fg4vUIYCB0S5,0.00253,0.598,0.786,0.0016,0.117,-5.572,0.0383,95.019,0.456,76,231000,0.802884615,0.542813456,0.771391125,0.017099786,0.191178872,0.462234982,0.278887373
Look What You Made Me Do,1089355976,886397,reputation,6DEjYFkNZh67HP7R9PSZvv,10/11/2017,6,1P17dC1amhFzptugyAO7Il,FALSE,spotify:track:1P17dC1amhFzptugyAO7Il,0.204,0.766,0.709,1.41E-05,0.126,-6.471,0.123,128.07,0.506,88,211853,0.710336538,0.79969419,0.715284279,0.112386095,0.425881083,0.517446996,0.242745478
Don't Blame Me,1014723836,1482716,reputation,6DEjYFkNZh67HP7R9PSZvv,10/11/2017,4,1R0a2iXumgCiFb7HEZ7gUE,FALSE,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,0.106,0.615,0.534,1.76E-05,0.0607,-6.719,0.0386,135.917,0.193,91,236413,0.5,0.568807339,0.699806528,0.017437282,0.481604306,0.171819788,0.289104956
